district,name,party,incumbent,winner,raised,spent,state
ID01,Russ Fulcher ,R,True,True,575485,508457,Idaho
ID01,Rudy Soto ,D,False,False,302902,302902,Idaho
ID02,Mike Simpson ,R,True,True,1008847,1099604,Idaho
ID02,Aaron Swisher ,D,False,False,70674,70268,Idaho
IL01,Bobby L Rush ,D,True,True,541435,496454,Illinois
IL01,Philanise White ,R,False,False,6289,5048,Illinois
IL02,Robin Kelly ,D,True,True,1634783,1108137,Illinois
IL03,Marie Newman ,D,False,True,2802093,2699323,Illinois
IL03,Mike Fricilone ,R,False,False,128458,127980,Illinois
IL04,Jesus Garcia ,D,True,True,822846,711159,Illinois
IL04,Jesus Solorio Jr ,R,False,False,2065,843,Illinois
IL05,Mike Quigley ,D,True,True,1171507,926655,Illinois
IL06,Sean Casten ,D,True,True,5582179,5313570,Illinois
IL06,Jeanne Ives ,R,False,False,3157771,3135464,Illinois
IL06,Bill Redpath ,L,False,False,9837,9837,Illinois
IL07,Danny K Davis ,D,True,True,544690,505506,Illinois
IL07,Tracy Jennings ,3,False,False,65283,65283,Illinois
IL08,Raja Krishnamoorthi ,D,True,True,6358878,2207703,Illinois
IL09,Jan Schakowsky ,D,True,True,1834801,1514838,Illinois
IL09,Sargis Sangari ,R,False,False,35364,34715,Illinois
IL10,Brad Schneider ,D,True,True,3459512,2873333,Illinois
IL10,Valerie Ramirez Mukherjee ,R,False,False,130225,64764,Illinois
IL11,Bill Foster ,D,True,True,2381354,1823906,Illinois
IL11,Rick Laib ,R,False,False,20343,20064,Illinois
IL12,Mike Bost ,R,True,True,1918041,1509573,Illinois
IL12,Ray Lenzi ,D,False,False,161324,104809,Illinois
IL13,Rodney Davis ,R,True,True,4943459,4822600,Illinois
IL13,Betsy Dirksen Londrigan ,D,False,False,5297007,5281880,Illinois
IL14,Lauren A Underwood ,D,True,True,7803579,7301503,Illinois
IL14,Jim Oberweis ,R,False,False,2438857,2348798,Illinois
IL15,Mary Miller ,R,False,True,689057,570356,Illinois
IL15,Erika Weaver ,D,False,False,58689,23349,Illinois
IL16,Adam Kinzinger ,R,True,True,2105736,1588550,Illinois
IL16,Dani Brzozowski ,D,False,False,459344,376167,Illinois
IL17,Cheri Bustos ,D,True,True,4975192,6391009,Illinois
IL17,Esther Joy King ,R,False,False,2032878,2030587,Illinois
IL18,Darin LaHood ,R,True,True,3248113,1749128,Illinois
IN01,Frank J. Mrvan ,D,False,True,578635,464407,Indiana
IN01,Mark Leyva ,R,False,False,16551,15343,Indiana
IN02,Jackie Walorski ,R,True,True,2383467,1698202,Indiana
