,Candidate,Raised,Spent,Cash on Hand,Last Report,state,district
212,Cindy Banyai (D),"$214,750","$203,430","$11,320",12/31/2020,FL,19
213,Alcee Hastings (D)  • Incumbent • Winner,"$607,649","$543,316","$149,865",12/31/2020,FL,20
214,Greg Musselwhite (R),"$28,955","$27,538","$1,418",12/31/2020,FL,20
215,Lois J Frankel (D)  • Incumbent • Winner,"$1,534,882","$1,309,786","$1,192,171",12/31/2020,FL,21
216,Laura Loomer (R),"$2,271,604","$2,240,689","$30,915",12/31/2020,FL,21
217,Charleston Malkemus (I),"$28,928","$28,636",$292,12/31/2020,FL,21
218,Ted Deutch (D)  • Incumbent • Winner,"$1,364,438","$1,265,494","$459,816",12/31/2020,FL,22
219,Jim Pruden (R),"$278,416","$278,416",$0,11/30/2020,FL,22
220,Debbie Wasserman Schultz (D)  • Incumbent • Winner,"$2,191,922","$1,979,903","$616,233",12/31/2020,FL,23
221,Carla Spalding (R),"$919,579","$903,561","$16,018",12/31/2020,FL,23
222,Frederica Wilson (D)  • Incumbent • Winner,"$412,592","$321,019","$420,585",12/31/2020,FL,24
223,Lavern Spicer (R),"$34,973","$34,909",$64,12/31/2020,FL,24
224,Christine Olivo (I),"$31,646","$32,898",-$956,11/23/2020,FL,24
225,Mario Diaz-Balart (R)  • Incumbent • Winner,"$1,590,134","$804,054","$933,244",12/31/2020,FL,25
226,Debbie Mucarsel-Powell (D)  • Incumbent,"$6,793,521","$6,822,740","$10,598",12/31/2020,FL,26
227,Carlos Gimenez (R)  • Winner,"$2,226,559","$2,187,389","$39,171",12/31/2020,FL,26
228,Donna Shalala (D)  • Incumbent,"$3,842,907","$3,735,966","$169,728",12/31/2020,FL,27
229,Maria Salazar (R)  • Winner,"$3,654,190","$3,645,814","$21,258",12/31/2020,FL,27
230,Frank Polo (I),"$4,606","$4,662",-$56,11/06/2020,FL,27
231,Buddy Carter (R)  • Incumbent • Winner,"$2,315,487","$1,734,754","$1,705,925",12/31/2020,GA,01
232,Joyce Griggs (D),"$130,043","$125,000","$5,043",12/31/2020,GA,01
