,Candidate,Raised,Spent,Cash on Hand,Last Report,state,district
575,Duane Whitmer (L),"$36,056","$36,056",$0,12/31/2020,NY,27
576,G K Butterfield (D)  • Incumbent • Winner,"$1,032,869","$880,420","$663,957",12/31/2020,NC,01
577,Sandy Smith (R),"$1,458,375","$1,437,805","$20,570",12/31/2020,NC,01
578,Deborah Ross (D)  • Winner,"$2,268,381","$1,816,923","$451,458",12/31/2020,NC,02
579,Alan Swain (R),"$119,664","$119,435",$229,12/31/2020,NC,02
580,Japheth Matemu (L),$625,$54,$0,06/30/2019,NC,02
581,Greg Murphy (R)  • Incumbent • Winner,"$1,767,790","$1,505,559","$262,231",12/31/2020,NC,03
582,David Price (D)  • Incumbent • Winner,"$1,161,738","$1,014,872","$313,316",12/31/2020,NC,04
583,Virginia Foxx (R)  • Incumbent • Winner,"$1,858,388","$1,944,629","$2,340,884",12/31/2020,NC,05
584,David Wilson Brown (D),"$61,596","$60,668",-$228,12/31/2020,NC,05
585,Kathy Manning (D)  • Winner,"$2,002,284","$1,695,596","$312,340",12/31/2020,NC,06
586,Joseph Lee Haywood (R),"$73,878","$58,342","$15,537",12/31/2020,NC,06
587,Jennyfer Bucardo (I),$750,$759,$10,02/12/2020,NC,06
588,David Rouzer (R)  • Incumbent • Winner,"$1,628,458","$1,038,883","$1,428,500",12/31/2020,NC,07
589,Christopher Ward (D),"$16,260","$4,119","$7,249",09/30/2020,NC,07
590,Richard Hudson (R)  • Incumbent • Winner,"$4,135,872","$4,359,009","$230,918",12/31/2020,NC,08
591,Patricia Timmons-Goodson (D),"$3,855,743","$3,852,668","$3,075",12/31/2020,NC,08
592,Dan Bishop (R)  • Incumbent • Winner,"$4,090,260","$4,029,864","$60,396",12/31/2020,NC,09
593,Cynthia Wallace (D),"$811,609","$794,300","$17,310",12/31/2020,NC,09
594,Patrick McHenry (R)  • Incumbent • Winner,"$2,780,234","$2,339,363","$1,706,970",12/31/2020,NC,10
595,David Parker (D),"$30,555","$30,555",$0,12/31/2020,NC,10
596,Madison Cawthorn (R)  • Winner,"$4,478,970","$4,366,783","$112,186",12/31/2020,NC,11
597,Moe Davis (D),"$2,251,413","$2,148,121","$103,292",12/31/2020,NC,11
598,Alma Adams (D)  • Incumbent • Winner,"$824,124","$651,883","$346,673",12/31/2020,NC,12
599,Bill Brewster (R),"$21,950","$16,763","$5,187",09/30/2019,NC,12
600,Ted Budd (R)  • Incumbent • Winner,"$2,294,174","$1,293,414","$1,070,999",12/31/2020,NC,13
601,Scott Huffman (D),"$193,334","$189,967","$4,634",12/31/2020,NC,13
602,Kelly Armstrong (R)  • Incumbent • Winner,"$1,269,346","$1,080,105","$305,708",12/31/2020,ND,01
603,Zach Raknerud (D),"$28,047","$26,029","$2,285",12/31/2020,ND,01
604,Steve Chabot (R)  • Incumbent • Winner,"$3,177,647","$2,861,464","$34,508",12/31/2020,OH,01
605,Kate Schroder (D),"$4,040,303","$4,039,798",$505,12/31/2020,OH,01
606,Kevin Kahn (L),"$12,085","$8,398","$3,687",12/31/2020,OH,01
607,Brad Wenstrup (R)  • Incumbent • Winner,"$1,794,354","$1,757,078","$461,246",12/31/2020,OH,02
608,Jaime Castle (D),"$284,197","$271,471","$12,726",12/31/2020,OH,02
609,Joyce Beatty (D)  • Incumbent • Winner,"$2,237,887","$2,540,687","$961,442",12/31/2020,OH,03
610,Nicholas Moss (I),"$1,258","$1,248",$0,11/16/2020,OH,03
611,Jim Jordan (R)  • Incumbent • Winner,"$18,313,823","$12,945,651","$6,113,812",12/31/2020,OH,04
612,Chris Gibbs (I),"$65,807","$65,807",$0,07/22/2020,OH,04
613,Bob Latta (R)  • Incumbent • Winner,"$1,580,952","$1,477,090","$719,464",12/31/2020,OH,05
614,Nick Rubando (D),"$249,319","$247,423","$1,996",11/24/2020,OH,05
615,Bill Johnson (R)  • Incumbent • Winner,"$1,866,123","$1,853,361","$858,830",12/31/2020,OH,06
616,Shawna Roberts (D),$262,$574,"$2,128",12/31/2019,OH,06
617,Bob Gibbs (R)  • Incumbent • Winner,"$791,888","$453,928","$491,574",12/31/2020,OH,07
618,Quentin Potter (D),"$12,976","$12,976",$0,12/18/2020,OH,07
619,Brandon Lape (L),"$3,348","$2,713",$635,12/31/2020,OH,07
620,Warren Davidson (R)  • Incumbent • Winner,"$1,016,740","$841,533","$404,715",12/31/2020,OH,08
621,Vanessa Enoch (D),"$40,270","$37,546","$12,877",09/30/2020,OH,08
622,Marcy Kaptur (D)  • Incumbent • Winner,"$1,090,395","$979,798","$772,396",12/31/2020,OH,09
623,Rob Weber (R),"$134,898","$123,262","$11,636",12/31/2020,OH,09
624,Michael R Turner (R)  • Incumbent • Winner,"$1,752,255","$1,736,283","$77,206",12/31/2020,OH,10
625,Desiree Tims (D),"$2,040,760","$2,024,010","$16,750",12/31/2020,OH,10
626,Marcia Fudge (D)  • Incumbent • Winner,"$755,787","$499,820","$1,179,553",12/31/2020,OH,11
627,Laverne Gore (R),"$157,044","$156,827",$218,12/31/2020,OH,11
628,Troy Balderson (R)  • Incumbent • Winner,"$2,016,826","$1,995,665","$43,050",12/31/2020,OH,12
629,Alaina Shearer (D),"$1,033,711","$1,025,410","$8,301",12/31/2020,OH,12
630,John Stewart (L),"$75,170","$66,382","-$9,960",11/23/2020,OH,12
631,Tim Ryan (D)  • Incumbent • Winner,"$1,972,446","$2,071,454","$19,187",12/31/2020,OH,13
632,Christina Hagan (R),"$861,723","$820,660","$41,393",12/31/2020,OH,13
633,David P Joyce (R)  • Incumbent • Winner,"$2,917,696","$2,501,449","$666,492",12/31/2020,OH,14
634,Hillary O'Connor Mueri (D),"$579,877","$574,646","$5,231",12/31/2020,OH,14
635,Steve Stivers (R)  • Incumbent • Winner,"$3,004,799","$2,293,101","$1,121,863",12/31/2020,OH,15
636,Joel Newby (D),"$55,797","$55,797",$0,12/31/2020,OH,15
637,Anthony Gonzalez (R)  • Incumbent • Winner,"$2,338,195","$1,839,807","$564,935",12/31/2020,OH,16
638,Aaron Godfrey (D),"$60,294","$60,430",$476,12/31/2020,OH,16
639,Kevin Hern (R)  • Incumbent • Winner,"$1,094,104","$830,366","$345,198",12/31/2020,OK,01
640,Kojo Asamoa-Caesar (D),"$157,355","$173,928","-$5,637",12/31/2020,OK,01
641,Markwayne Mullin (R)  • Incumbent • Winner,"$1,660,206","$1,077,939","$610,310",12/31/2020,OK,02
642,Danyell Lanier (D),"$41,730","$41,722",$7,12/31/2020,OK,02
643,Frank D Lucas (R)  • Incumbent • Winner,"$872,749","$1,036,145","$282,179",12/31/2020,OK,03
644,Tom Cole (R)  • Incumbent • Winner,"$1,812,530","$1,753,697","$1,277,189",12/31/2020,OK,04
645,Mary Brannon (D),"-$2,084","$1,599","$1,734",12/30/2020,OK,04
646,Kendra Horn (D)  • Incumbent,"$5,949,800","$5,946,195","$103,097",12/31/2020,OK,05
647,Stephanie Bice (R)  • Winner,"$3,720,520","$3,508,929","$211,591",12/31/2020,OK,05
648,Suzanne Bonamici (D)  • Incumbent • Winner,"$959,223","$864,627","$553,346",12/31/2020,OR,01
649,Chris Christensen (R),$144,$672,$0,11/20/2020,OR,01
650,Cliff Bentz (R)  • Winner,"$1,450,780","$1,361,727","$89,054",12/31/2020,OR,02
651,Alex Spenser (D),"$20,640","$5,089","$15,552",12/31/2020,OR,02
652,Earl Blumenauer (D)  • Incumbent • Winner,"$1,813,365","$1,948,453","$757,345",12/31/2020,OR,03
653,Joanna Harbour (R),"$17,681","$14,502","$3,179",12/31/2020,OR,03
654,Peter DeFazio (D)  • Incumbent • Winner,"$5,182,843","$5,781,074","$517,595",12/31/2020,OR,04
655,Alek Skarlatos (R),"$5,454,621","$5,331,264","$123,357",12/31/2020,OR,04
656,Kurt Schrader (D)  • Incumbent • Winner,"$2,018,692","$1,922,073","$2,516,499",12/31/2020,OR,05
657,Amy Ryan Courser (R),"$231,624","$221,041","$10,471",12/31/2020,OR,05
658,Brian Fitzpatrick (R)  • Incumbent • Winner,"$4,203,825","$4,272,135","$48,325",12/31/2020,PA,01
659,Christina Finello (D),"$2,336,814","$2,329,748","$7,066",12/31/2020,PA,01
660,Brendan Boyle (D)  • Incumbent • Winner,"$1,556,650","$756,317","$1,468,741",12/31/2020,PA,02
661,Dwight Evans (D)  • Incumbent • Winner,"$942,386","$781,265","$182,602",12/31/2020,PA,03
662,Madeleine Dean (D)  • Incumbent • Winner,"$1,435,995","$1,005,928","$574,594",12/31/2020,PA,04
663,Kathy Barnette (R),"$1,000,389","$884,640","$115,749",12/31/2020,PA,04
664,Joe Tarshish (I),"$24,038","$23,738",$300,12/31/2020,PA,04
665,Mary Gay Scanlon (D)  • Incumbent • Winner,"$1,455,042","$1,350,276","$218,679",12/31/2020,PA,05
666,Dasha Pruett (R),"$105,146","$82,437","$22,709",12/31/2020,PA,05
667,Chrissy Houlahan (D)  • Incumbent • Winner,"$3,484,484","$1,327,283","$3,109,257",12/31/2020,PA,06
668,John Emmons (R),"$608,859","$601,390","$7,469",12/31/2020,PA,06
669,John McHugh (I),"$6,165","$4,410","$3,242",12/03/2020,PA,06
670,Susan Wild (D)  • Incumbent • Winner,"$4,581,056","$4,528,267","$78,696",12/31/2020,PA,07
671,Matt Cartwright (D)  • Incumbent • Winner,"$3,885,136","$4,144,070","$170,866",12/31/2020,PA,08
672,Jim Bognet (R),"$1,519,527","$1,386,040","$133,487",12/31/2020,PA,08
673,Dan Meuser (R)  • Incumbent • Winner,"$1,071,961","$944,010","$140,610",12/31/2020,PA,09
674,Gary Wegman (D),"$188,787","$187,348","$1,600",12/31/2020,PA,09
675,Scott Perry (R)  • Incumbent,"$3,956,481","$3,839,197","$171,329",12/31/2020,PA,10
676,Eugene DePasquale (D),"$4,534,580","$4,526,684","$7,896",12/31/2020,PA,10
677,Lloyd Smucker (R)  • Incumbent • Winner,"$1,349,318","$662,704","$696,775",12/31/2020,PA,11
678,Sarah Hammond (D),"$28,733","$23,458","$5,287",12/31/2020,PA,11
679,Fred Keller (R)  • Incumbent • Winner,"$1,541,938","$1,066,158","$475,779",12/31/2020,PA,12
680,Lee Griffin (D),"$45,850","$44,571","$1,279",12/31/2020,PA,12
681,Liz Terwilliger (L),"$6,211","$5,937","$3,121",12/31/2020,PA,12
682,John Joyce (R)  • Incumbent • Winner,"$1,119,769","$461,229","$718,883",12/31/2020,PA,13
683,Todd Rowley (D),"$60,348","$67,527",$253,12/31/2020,PA,13
684,Guy Reschenthaler (R)  • Incumbent • Winner,"$2,250,282","$1,580,488","$687,580",12/31/2020,PA,14
685,Bill Marx (D),"$60,403","$45,959","$14,444",12/31/2020,PA,14
686,Glenn Thompson (R)  • Incumbent • Winner,"$1,700,061","$1,839,073","$93,177",12/31/2020,PA,15
687,Mike Kelly (R)  • Incumbent • Winner,"$2,239,488","$1,319,340","$958,525",12/31/2020,PA,16
688,Kristy Gnibus (D),"$584,205","$579,453","$4,751",12/31/2020,PA,16
689,Conor Lamb (D)  • Incumbent • Winner,"$4,063,114","$3,448,850","$852,818",12/31/2020,PA,17
690,Sean Parnell (R),"$3,935,774","$3,732,399","$203,375",12/31/2020,PA,17
691,Mike Doyle (D)  • Incumbent • Winner,"$1,008,711","$999,692","$265,897",12/31/2020,PA,18
692,Luke Negron (R),"$57,714","$51,666","$6,048",12/31/2020,PA,18
693,David Cicilline (D)  • Incumbent • Winner,"$1,574,854","$1,743,173","$529,048",12/31/2020,RI,01
694,Jim Langevin (D)  • Incumbent • Winner,"$1,102,312","$1,422,339","$711,473",12/31/2020,RI,02
695,Bob Lancia (R),"$55,549","$47,877","$7,673",12/31/2020,RI,02
696,Joe Cunningham (D)  • Incumbent,"$6,941,746","$6,993,962","$6,372",12/31/2020,SC,01
697,Nancy Mace (R)  • Winner,"$5,766,726","$5,707,239","$59,487",12/31/2020,SC,01
698,Joe Wilson (R)  • Incumbent • Winner,"$1,648,065","$1,723,956","$74,366",12/31/2020,SC,02
699,Adair Boroughs (D),"$2,510,526","$2,507,664","$2,862",12/31/2020,SC,02
700,Jeff Duncan (R)  • Incumbent • Winner,"$1,509,647","$1,271,872","$482,411",12/31/2020,SC,03
701,Hosea Cleveland (D),"$43,214","$45,107",$0,12/31/2020,SC,03
702,William Timmons (R)  • Incumbent • Winner,"$977,784","$982,233","$8,690",12/31/2020,SC,04
703,Kim Nelson (D),"$167,825","$167,508",$317,12/31/2020,SC,04
704,Ralph Norman (R)  • Incumbent • Winner,"$991,246","$859,747","$727,939",12/31/2020,SC,05
705,Moe Brown (D),"$480,648","$477,295","$3,353",12/31/2020,SC,05
706,James E Clyburn (D)  • Incumbent • Winner,"$3,406,945","$2,332,128","$1,980,495",12/31/2020,SC,06
707,Tom Rice (R)  • Incumbent • Winner,"$1,405,738","$1,242,208","$1,121,354",12/31/2020,SC,07
708,Melissa Watson (D),"$147,623","$147,623",$0,12/31/2020,SC,07
709,Larry Guy Hammond (L),$199,$199,$0,10/03/2020,SC,07
710,Dusty Johnson (R)  • Incumbent • Winner,"$1,693,504","$699,356","$1,050,141",12/31/2020,SD,01
711,Diana Harshbarger (R)  • Winner,"$2,126,946","$1,869,100","$257,846",12/31/2020,TN,01
712,Blair Nicole Walsingham (D),"$140,209","$134,995","$5,215",10/14/2020,TN,01
713,Tim Burchett (R)  • Incumbent • Winner,"$1,336,276","$878,488","$593,678",12/31/2020,TN,02
714,Renee Hoyos (D),"$812,784","$816,793",$210,12/31/2020,TN,02
715,Chuck Fleischmann (R)  • Incumbent • Winner,"$1,051,653","$381,411","$1,880,341",12/31/2020,TN,03
716,Meg Gorman (D),"$85,843","$77,760","$8,083",12/31/2020,TN,03
717,Scott Desjarlais (R)  • Incumbent • Winner,"$331,464","$392,499","$302,649",12/31/2020,TN,04
718,Christopher Hale (D),"$308,731","$302,996","$5,735",12/31/2020,TN,04
719,Jim Cooper (D)  • Incumbent • Winner,"$936,569","$1,332,131","$272,934",12/31/2020,TN,05
720,John Rose (R)  • Incumbent • Winner,"$1,050,429","$625,688","$454,375",12/31/2020,TN,06
721,Mark Green (R)  • Incumbent • Winner,"$1,194,960","$935,487","$287,889",12/31/2020,TN,07
722,Kiran Sreepada (D),"$206,644","$207,191",$0,12/31/2020,TN,07
723,Ronald Brown (I),"$1,750",$0,"$9,006",12/31/2020,TN,07
724,Scott Vieira Jr (I),$655,"$1,049",-$197,10/14/2020,TN,07
725,David Kustoff (R)  • Incumbent • Winner,"$1,641,217","$999,285","$713,832",12/31/2020,TN,08
726,Erika Stotts Pearson (D),"$19,070","$15,883","$4,137",12/31/2020,TN,08
727,Steve Cohen (D)  • Incumbent • Winner,"$607,570","$457,311","$1,216,119",12/31/2020,TN,09
728,Charlotte Bergmann (R),"$99,147","$100,532","$2,566",12/31/2020,TN,09
729,Dennis Clark (I),"$9,991","$9,919",$40,11/23/2020,TN,09
730,Louis B Gohmert Jr. (R)  • Incumbent • Winner,"$552,915","$580,441","$33,662",12/31/2020,TX,01
731,Hank Gilbert (D),"$968,155","$734,411","$233,744",12/31/2020,TX,01
732,Dan Crenshaw (R)  • Incumbent • Winner,"$19,427,865","$17,596,329","$1,852,715",12/31/2020,TX,02
733,Sima Ladjevardian (D),"$3,832,697","$3,825,287","$7,410",12/31/2020,TX,02
734,Elliott Scheirman (L),"$15,374","$14,296",-$942,11/23/2020,TX,02
735,Van Taylor (R)  • Incumbent • Winner,"$2,655,327","$2,825,378","$22,498",12/31/2020,TX,03
736,Helane Seikaly (D),"$1,635,185","$1,634,843",$342,12/31/2020,TX,03
737,Patrick Fallon (R)  • Winner,"$257,174","$95,065","$162,109",12/31/2020,TX,04
738,Tracy Shawn Jones (I),"$13,002","$10,595","$2,407",12/31/2020,TX,04
739,Lance Gooden (R)  • Incumbent • Winner,"$1,610,327","$1,311,983","$452,535",12/31/2020,TX,05
740,Carolyn Salter (D),"$317,848","$289,112","$28,736",12/31/2020,TX,05
741,Kevin Hale (L),"$18,405","$6,508","$11,678",10/14/2020,TX,05
742,Ron Wright (R)  • Incumbent • Winner,"$912,134","$907,693","$6,834",12/31/2020,TX,06
743,Stephen Daniel (D),"$680,402","$677,568","$2,834",12/31/2020,TX,06
744,Lizzie Fletcher (D)  • Incumbent • Winner,"$6,265,165","$6,246,136","$61,097",12/31/2020,TX,07
745,Wesley Hunt (R),"$7,524,064","$7,300,122","$223,942",12/31/2020,TX,07
746,Kevin Brady (R)  • Incumbent • Winner,"$3,570,477","$3,190,447","$1,102,667",12/31/2020,TX,08
747,Elizabeth Hernandez (D),"$17,227","$14,981","$1,985",10/14/2020,TX,08
748,Al Green (D)  • Incumbent • Winner,"$460,332","$486,155","$239,806",12/31/2020,TX,09
749,Johnny Teague (R),"$89,965","$88,366",$150,12/31/2020,TX,09
750,Michael McCaul (R)  • Incumbent • Winner,"$3,856,477","$3,910,930","$7,734",12/31/2020,TX,10
751,Mike Siegel (D),"$2,873,926","$2,829,765","$47,652",12/31/2020,TX,10
752,August Pfluger (R)  • Winner,"$2,578,540","$1,984,134","$594,406",12/31/2020,TX,11
753,Jon Mark Hogg (D),"$137,730","$135,141","$2,589",12/31/2020,TX,11
754,Kay Granger (R)  • Incumbent • Winner,"$3,161,288","$3,271,815","$310,674",12/31/2020,TX,12
755,Lisa Welch (D),"$98,465","$98,475",-$10,12/31/2020,TX,12
756,Trey Holcomb (L),$967,$457,$510,06/30/2020,TX,12
757,Ronny Jackson (R)  • Winner,"$2,128,271","$1,741,132","$387,139",12/31/2020,TX,13
758,Gus Trujillo (D),"$22,826","$18,820","$4,006",11/23/2020,TX,13
759,Randy Weber (R)  • Incumbent • Winner,"$936,202","$924,659","$471,407",12/31/2020,TX,14
760,Adrienne Bell (D),"$244,754","$240,934","$8,921",12/31/2020,TX,14
761,Cyrus Sajna (I),"$35,096","$34,942",$609,09/30/2020,TX,14
762,Michael David Sanchez (I),$100,$12,$88,09/30/2020,TX,14
763,Vicente Gonzalez (D)  • Incumbent • Winner,"$1,008,381","$657,500","$1,371,492",12/31/2020,TX,15
764,Monica De La Cruz Hernandez (R),"$344,893","$338,832","$7,506",12/31/2020,TX,15
765,Veronica Escobar (D)  • Incumbent • Winner,"$1,135,549","$1,087,693","$284,855",12/31/2020,TX,16
766,Irene Armendariz-Jackson (R),"$168,997","$153,671","$16,242",12/31/2020,TX,16
767,Pete Sessions (R)  • Winner,"$1,447,958","$1,658,637","$165,990",12/31/2020,TX,17
768,Rick Kennedy (D),"$200,668","$202,096",$0,11/23/2020,TX,17
769,Ted Brown (L),"$3,041","$3,041",$0,12/29/2020,TX,17
770,Sheila Jackson Lee (D)  • Incumbent • Winner,"$924,480","$838,414","$167,820",12/31/2020,TX,18
771,Wendell Champion (R),"$305,645","$271,278","$34,367",11/23/2020,TX,18
772,Jodey Arrington (R)  • Incumbent • Winner,"$2,497,184","$1,932,700","$1,099,354",12/31/2020,TX,19
773,Tom Watson (D),"$49,405","$60,806","-$20,984",12/31/2020,TX,19
774,Joaquin Castro (D)  • Incumbent • Winner,"$674,061","$686,934","$115,747",12/31/2020,TX,20
775,Mauro Garza (R),"$263,293","$240,930","$45,852",12/31/2020,TX,20
776,Chip Roy (R)  • Incumbent • Winner,"$5,005,639","$4,679,362","$463,583",12/31/2020,TX,21
777,Wendy Davis (D),"$10,263,486","$10,201,874","$61,611",12/31/2020,TX,21
778,Michael Felts (I),"$3,570","$1,851","$3,354",06/30/2019,TX,21
779,Sri Kulkarni (D),"$5,639,061","$5,630,098","$36,731",12/31/2020,TX,22
780,Troy Nehls (R)  • Winner,"$1,806,655","$1,787,448","$24,807",12/31/2020,TX,22
781,Gina Ortiz Jones (D),"$6,755,222","$6,842,440","$4,301",12/31/2020,TX,23
782,Tony Gonzales (R)  • Winner,"$2,797,133","$2,764,108","$33,026",12/31/2020,TX,23
783,Candace Valenzuela (D),"$4,886,999","$4,875,031","$11,967",12/31/2020,TX,24
784,Beth Van Duyne (R)  • Winner,"$3,410,852","$3,342,442","$68,410",12/31/2020,TX,24
785,Stephen Kuzmich (I),"$175,504","$201,332","$2,073",12/10/2020,TX,24
786,Mark Bauer (I),"$26,342","$26,542",-$200,12/31/2020,TX,24
787,Darren Hamilton (L),$570,$212,$358,11/23/2020,TX,24
788,Roger Williams (R)  • Incumbent • Winner,"$2,435,121","$3,347,267","$11,542",12/31/2020,TX,25
789,Julie Oliver (D),"$2,190,347","$2,176,319","$14,028",12/31/2020,TX,25
790,Michael Burgess (R)  • Incumbent • Winner,"$1,806,588","$2,081,391","$142,497",12/31/2020,TX,26
791,Carol Iannuzzi (D),"$95,937","$95,937",$0,12/31/2020,TX,26
792,Michael Cloud (R)  • Incumbent • Winner,"$1,014,427","$829,748","$242,372",12/31/2020,TX,27
793,Ricardo De La Fuente (D),"$312,096","$312,096",$0,12/10/2020,TX,27
794,Henry Cuellar (D)  • Incumbent • Winner,"$2,655,317","$3,650,848","$1,550,473",12/31/2020,TX,28
795,Sandra Whitten (R),"$24,760","$27,354","-$1,770",12/31/2020,TX,28
796,Sylvia Garcia (D)  • Incumbent • Winner,"$818,984","$758,382","$247,599",12/31/2020,TX,29
797,Jaimy Blanco (R),"$4,378",$0,"$4,378",09/30/2020,TX,29
798,Eddie Bernice Johnson (D)  • Incumbent • Winner,"$589,096","$494,547","$415,685",12/31/2020,TX,30
799,Demetrick Pennie (R),"$311,109","$305,446","$5,663",12/31/2020,TX,30
800,John Carter (R)  • Incumbent • Winner,"$2,160,187","$2,214,487","$200,406",12/31/2020,TX,31
801,Donna Imam (D),"$1,035,222","$1,035,272",-$50,12/31/2020,TX,31
802,Colin Allred (D)  • Incumbent • Winner,"$5,667,725","$5,611,747","$159,422",12/31/2020,TX,32
803,Genevieve Collins (R),"$5,923,081","$5,915,256","$7,825",12/31/2020,TX,32
804,Jason Sigmon (I),"$11,791","$11,651",$154,12/31/2020,TX,32
805,Marc Veasey (D)  • Incumbent • Winner,"$1,621,929","$1,613,446","$468,344",12/31/2020,TX,33
806,Fabian Cordova Vasquez (R),"$36,692","$25,585","$11,107",11/23/2020,TX,33
807,Filemon Vela (D)  • Incumbent • Winner,"$983,026","$1,024,180","$564,720",12/31/2020,TX,34
808,Rey Gonzalez (R),"$37,118","$37,446","-$2,950",12/31/2020,TX,34
809,Lloyd Doggett (D)  • Incumbent • Winner,"$1,336,576","$424,804","$5,205,475",12/31/2020,TX,35
810,Jennifer Sharon (R),"$19,011","$14,442","$4,569",12/31/2020,TX,35
811,Jason Mata (I),"$2,632","$2,632",$0,11/03/2020,TX,35
812,Brian Babin (R)  • Incumbent • Winner,"$1,345,351","$1,297,185","$785,081",12/31/2020,TX,36
813,Brandon Rashad Lewis (D),"$21,714","$12,278","$10,813",12/04/2020,TX,36
814,Blake Moore (R)  • Winner,"$844,377","$816,015","$28,362",12/31/2020,UT,01
815,Darren Parry (D),"$41,218","$40,904",$315,12/31/2020,UT,01
816,Chris Stewart (R)  • Incumbent • Winner,"$835,139","$812,462","$164,694",12/31/2020,UT,02
817,John Kael Weston (D),"$344,774","$306,872","$37,905",12/31/2020,UT,02
818,Joe Jarvis (3),"$22,989","$22,989",$0,03/31/2020,UT,02
819,John Curtis (R)  • Incumbent • Winner,"$874,311","$687,265","$351,305",12/31/2020,UT,03
820,Devin Thorpe (D),"$191,412","$190,200","$1,211",12/31/2020,UT,03
821,Thomas G. McNeill (3),"$5,516","$5,516",$0,12/31/2020,UT,03
822,Russel Fugal (I),$393,$346,$46,03/31/2020,UT,03
823,Ben McAdams (D)  • Incumbent,"$5,613,542","$5,555,591","$136,323",12/31/2020,UT,04
824,Burgess Owens (R)  • Winner,"$5,129,475","$5,049,146","$80,329",12/31/2020,UT,04
825,Jonia Broderick (3),"$21,394","$21,265","$1,002",10/23/2020,UT,04
826,Peter Welch (D)  • Incumbent • Winner,"$847,320","$865,252","$2,107,307",12/31/2020,VT,01
827,Rob Wittman (R)  • Incumbent • Winner,"$1,969,785","$2,140,375","$187,331",12/31/2020,VA,01
828,Qasim Rashid (D),"$1,559,108","$1,559,108",$0,12/30/2020,VA,01
829,Elaine Luria (D)  • Incumbent • Winner,"$6,522,276","$6,387,474","$142,175",12/31/2020,VA,02
830,Scott Taylor (R),"$2,452,292","$2,446,410","$22,613",12/31/2020,VA,02
831,Bobby Scott (D)  • Incumbent • Winner,"$873,126","$832,419","$212,393",12/31/2020,VA,03
832,John Collick (R),"$167,146","$165,080","$2,189",12/31/2020,VA,03
833,Donald McEachin (D)  • Incumbent • Winner,"$961,412","$963,788","$209,132",12/31/2020,VA,04
834,Leon Benjamin (R),"$545,354","$523,429","$21,925",12/31/2020,VA,04
835,Cameron Webb (D),"$5,755,917","$5,750,924","$4,993",12/31/2020,VA,05
836,Bob Good (R)  • Winner,"$1,373,867","$1,323,530","$50,336",12/31/2020,VA,05
837,Ben Cline (R)  • Incumbent • Winner,"$892,955","$672,928","$238,774",12/31/2020,VA,06
838,Nicholas Betts (D),"$56,190","$54,205",$0,12/31/2020,VA,06
839,Abigail Spanberger (D)  • Incumbent • Winner,"$8,387,680","$7,852,213","$582,133",12/31/2020,VA,07
840,Nick Freitas (R),"$3,629,431","$3,600,108","$29,323",12/31/2020,VA,07
841,Don Beyer (D)  • Incumbent • Winner,"$1,729,482","$2,071,906","$640,022",12/31/2020,VA,08
842,Jeff Jordan (R),"$96,035","$96,035",$0,11/23/2020,VA,08
843,Heerak Christian Kim (I),"$2,036","$1,921",$114,12/31/2020,VA,08
844,Morgan Griffith (R)  • Incumbent • Winner,"$873,612","$463,916","$421,442",12/31/2020,VA,09
845,Jennifer Wexton (D)  • Incumbent • Winner,"$3,855,331","$1,772,250","$2,140,698",12/31/2020,VA,10
846,Aliscia Andrews (R),"$1,567,598","$1,413,145","$158,052",12/31/2020,VA,10
847,Gerry Connolly (D)  • Incumbent • Winner,"$1,998,592","$1,811,776","$2,891,921",12/31/2020,VA,11
848,Manga Anantatmula (R),"$282,152","$268,326","$13,826",12/31/2020,VA,11
849,Stevan Porter (L),$533,"$1,316",$149,12/31/2020,VA,11
850,Suzan DelBene (D)  • Incumbent • Winner,"$2,182,985","$1,897,162","$1,339,118",12/31/2020,WA,01
851,Jeffrey Beeler (R),"$61,970","$62,279","$4,040",12/31/2020,WA,01
852,Rick Larsen (D)  • Incumbent • Winner,"$1,275,127","$1,219,489","$327,798",12/31/2020,WA,02
853,Tim Hazelo (R),"$49,478","$49,322",$156,12/31/2020,WA,02
854,Jaime Herrera Beutler (R)  • Incumbent • Winner,"$4,566,383","$4,540,148","$75,202",12/31/2020,WA,03
855,Carolyn Long (D),"$4,130,540","$4,142,685","$18,007",12/31/2020,WA,03
856,Dan Newhouse (R)  • Incumbent • Winner,"$1,173,464","$991,174","$299,719",12/31/2020,WA,04
857,Doug McKinley (D),"$57,666","$54,227","$3,440",12/31/2020,WA,04
858,Cathy McMorris Rodgers (R)  • Incumbent • Winner,"$4,349,448","$3,432,572","$1,075,550",12/31/2020,WA,05
859,Dave Wilson (D),"$109,636","$109,636",$0,11/17/2020,WA,05
860,Derek Kilmer (D)  • Incumbent • Winner,"$2,524,026","$2,531,111","$2,988,099",12/31/2020,WA,06
861,Elizabeth Kreiselmaier (R),"$156,123","$145,108","$11,015",12/31/2020,WA,06
862,Pramila Jayapal (D)  • Incumbent • Winner,"$2,630,000","$1,530,626","$1,783,613",12/31/2020,WA,07
863,Craig Keller (R),"$2,904","$3,703",$14,12/31/2020,WA,07
864,Kim Schrier (D)  • Incumbent • Winner,"$5,422,491","$3,774,398","$1,717,753",12/31/2020,WA,08
865,Jesse Jensen (R),"$852,396","$842,269","$10,127",12/31/2020,WA,08
866,Adam Smith (D)  • Incumbent • Winner,"$1,324,761","$930,710","$585,828",12/31/2020,WA,09
